title,TMDB_ID,bechdel_pass,budget,revenue,primary_genre,popularity,year,language,runtime,TMDB_rating,votes,spoken_language,logbudget,logrevenue
The Lion King,8587,fail,45000000,763455561,Family,159.887,1994,English Language,89,8.3,14673,en,17.622173047734595,20.453365476606823
Little Women,331482,pass,40000000,216601214,Drama,65.145,2019,English Language,135,7.9,4297,en,17.50439001207821,19.193568497316935
The Mask,854,fail,23000000,351583407,Romance,48.91,1994,English Language,101,6.9,7992,en,16.951004773893423,19.677957529828916
Muriel's Wedding,236,pass,3000000,15119639,Comedy,19.141,1994,English Language,106,7,308,en,14.914122846632385,16.53150505276926
Natural Born Killers,241,pass,34000000,50282766,Crime,14.589,1994,English Language,118,7.1,2584,en,17.341871082580436,17.733172952106393
New Nightmare,11596,pass,14000000,18090181,Horror,20.577,1994,English Language,112,6.4,976,en,16.454567887579532,16.71087986284934
The Next Karate Kid,11231,pass,12000000,15876353,Action,23.039,1994,English Language,107,5.3,736,en,16.300417207752275,16.580341327457756
No Escape,192141,fail,5000000,54418872,Thriller,43.587,2015,English Language,103,6.9,2008,en,15.424948470398375,17.812221563430903
The Pagemaster,15139,fail,27000000,13670688,Family,15.082,1994,English Language,80,6.4,598,en,17.111347423968603,16.430764536621663
Police Academy: Mission to Moscow,11546,fail,10000000,126247,Comedy,12.79,1994,English Language,83,4.5,602,en,16.11809565095832,11.745995584479038
Priest,38321,pass,60000000,78309131,Horror,22.066,2011,English Language,87,5.7,1759,en,17.909855120186375,18.17617476974306
Pulp Fiction,680,pass,8000000,214179088,Thriller,54.8,1994,English Language,154,8.5,22156,en,15.89495209964411,19.182323082827274
Quiz Show,11450,fail,31000000,24822619,Drama,11.761,1994,English Language,133,7.3,661,en,17.24949776244942,17.027265851916063
Reality Bites,2788,pass,11500000,20079850,Drama,9.655,1994,English Language,99,6.6,528,en,16.25785759333348,16.81522738264038
Renaissance Man,11858,fail,40000000,24332324,Comedy,10.875,1994,English Language,128,6.1,218,en,17.50439001207821,17.007316230132204
The Santa Clause,11395,fail,22000000,189833357,Fantasy,39.687,1994,English Language,97,6.4,1476,en,16.90655301132259,19.06165717685416
Serial Mom,11592,pass,13000000,7820688,Comedy,11.544,1994,English Language,94,6.7,466,en,16.38045991542581,15.872283088191162
The Shadow,8850,fail,25000000,48063435,Adventure,10.84,1994,English Language,108,6,376,en,17.034386382832476,17.688032258877065
The Shawshank Redemption,278,fail,25000000,28341469,Drama,69.181,1994,English Language,142,8.7,20192,en,17.034386382832476,17.159836625745815
The Specialist,2636,fail,45000000,170362582,Action,17.237,1994,English Language,110,5.8,938,en,17.622173047734595,18.953439559044373
Stargate,2164,fail,55000000,196567262,Action,25.145,1994,English Language,121,7,2536,en,17.822843743196746,19.096515230956676
Street Fighter,11667,pass,35000000,99423521,Action,17.157,1994,English Language,102,4.5,1087,en,17.37085861945369,18.414899273413063
The Swan Princess,22586,fail,20000000,9771658,Family,20.578,1994,English Language,89,6.6,764,en,16.811242831518264,16.09499671279399
Timecop,8831,fail,27000000,101646581,Thriller,14.287,1994,English Language,99,5.9,837,en,17.111347423968603,18.437012462450824
True Lies,36955,pass,115000000,378882411,Action,23.046,1994,English Language,141,7,3035,en,18.560442686327523,19.752736453692012
Addams Family Values,2758,pass,47000000,48919043,Comedy,51.089,1993,English Language,94,6.9,2167,en,17.665658159674333,17.705677306040794
The Age of Innocence,10436,pass,34000000,32255440,Drama,11.669,1993,English Language,138,7,760,en,17.341871082580436,17.289197269151362
Batman: Mask of the Phantasm,14919,fail,6000000,5617391,Action,13.37,1993,English Language,76,7.5,729,en,15.60727002719233,15.541377879204058
Body of Evidence,2149,pass,30000000,38000000,Drama,9.126,1993,English Language,101,4.9,211,en,17.216707939626428,17.45309671769066
