title,BT_score.1_is_Pass,TMDB_ID,budget,language,popularity,year,revenue,runtime,TMDB_rating,votes,primary_genre
Clear History,0,133790,0,en,6.667,2013-08-10,0,100,6.1,249,Comedy
Closed Circuit,0,146223,0,en,20.692,2013-08-28,5750401,96,5.9,350,Mystery
Cloudy with a Chance of Meatballs 2,1,109451,78000000,en,51.852,2013-09-26,248384621,95,6.4,2422,Animation
Coherence,1,220289,0,en,15.806,2013-09-19,102617,89,7.3,2017,Thriller
The Colony,0,178809,16000000,en,14.897,2013-04-12,0,95,5.4,880,Action
Computer Chess,0,158743,0,en,4.586,2013-07-17,0,91,6.3,78,Comedy
Concussion,1,321741,35000000,en,17.013,2015-11-12,50363790,123,7.1,2079,Drama
The Congress,1,152795,0,en,9.143,2013-07-03,455815,122,6.4,388,Drama
The Conjuring,1,138843,13000000,en,136.354,2013-03-20,319494638,112,7.5,8876,Horror
Contracted,1,204349,0,en,13.006,2013-07-07,58221,84,5.4,395,Horror
The Counselor,1,109091,25000000,en,16.501,2013-10-25,71009334,117,5.2,1462,Thriller
The Croods,1,49519,135000000,en,126.748,2013-03-15,587204668,98,6.9,5700,Animation
The Crown and the Dragon,1,205939,0,en,6.773,2013-07-25,0,91,5.5,24,Fantasy
Curse of Chucky,1,167032,5000000,en,82.548,2013-10-04,3800000,97,5.9,1136,Horror
Cutie and the Boxer,0,159002,0,en,4.655,2013-08-16,0,81,7.1,59,Documentary
Dallas Buyers Club,1,152532,5000000,en,21.267,2013-11-17,55736588,117,7.9,7028,Drama
Dark Skies,0,145135,3500000,en,19.956,2013-02-21,25174316,97,6.3,1416,Science Fiction
Dark Touch,1,174671,0,en,5.652,2013-09-27,0,90,4.9,93,Horror
Dead Man Down,1,102362,0,en,12.217,2013-03-08,18074539,118,6.1,1175,Thriller
Decoding Annie Parker,1,177047,2000000,en,8.754,2014-05-02,48390,91,6.2,64,Drama
Delivery Man,0,146239,26000000,en,16.842,2013-10-10,51164106,105,6.2,1180,Comedy
The Den,1,244610,0,en,11.664,2013-12-12,0,81,6,249,Horror
Despicable Me 2,1,93456,76000000,en,85.123,2013-06-26,970761885,98,6.9,9413,Animation
The Devil's Violinist,1,191820,0,de,7.482,2013-01-30,11294,122,6.6,136,Drama
The Dirties,1,159770,10000,en,5.254,2013-10-04,0,83,6.2,87,Drama
Disconnect,0,127517,10000000,en,11.019,2012-09-11,3428048,115,7.1,890,Drama
Don Jon,1,138697,3000000,en,19.065,2013-09-12,0,90,6,3612,Romance
The Double,0,73499,17000000,en,31.928,2011-10-27,3696232,98,5.8,497,Action
Down River,1,566668,3000,en,2.826,2018-12-04,0,70,7.3,3,War
Dragon Ball Z: Battle of Gods,1,126963,0,ja,113.683,2013-03-30,50461371,85,6.8,1133,Animation
Drinking Buddies,1,172533,0,en,7.658,2013-08-23,343341,90,6,648,Romance
The East,1,87499,6500000,en,10.109,2013-05-31,2401510,116,6.6,600,Drama
Elysium,1,68724,115000000,en,56.406,2013-08-07,286140700,109,6.5,7183,Science Fiction
Ender's Game,0,80274,110000000,en,38.698,2013-10-24,125537191,114,6.6,4741,Science Fiction
Enemy,0,181886,0,en,17.786,2013-12-31,3396726,91,6.9,4543,Thriller
Enough Said,1,209263,0,en,9.938,2013-09-18,25288872,93,6.7,632,Comedy
Epic,1,116711,100000000,en,44.299,2013-05-15,268426634,102,6.5,2215,Animation
Escape from Planet Earth,1,68179,40000000,en,17.455,2013-02-14,74597643,89,5.7,605,Animation
Escape Plan,0,107846,50000000,en,41.339,2013-10-09,122915111,115,6.7,4095,Action
Europa Report,1,174772,125687,en,61.896,2013-06-27,0,90,6.3,1038,Science Fiction
Evil Dead,1,109428,17000000,en,28.402,2013-04-05,97542952,91,6.4,3506,Horror
Exit Marrakech,0,209266,6000000,de,1.362,2013-06-28,0,123,6.2,13,Drama
Fading Gigolo,0,214030,0,en,16.642,2013-09-07,2681345,90,5.8,473,Comedy
Family Weekend,1,172631,0,en,10.593,2013-03-28,0,105,6.4,170,Comedy
The Fifth Estate,0,162903,28000000,en,12.579,2013-10-11,8555008,128,6,791,Drama
Filth,0,85889,5000000,en,11.149,2013-09-23,9114264,97,6.9,1327,Crime
Finding Mr. Right,0,188183,4881000,zh,4.509,2013-03-20,81350000,123,6.5,66,Comedy
Finsterworld,0,204384,0,de,4.065,2013-06-28,0,91,6.4,42,Drama
First Period,1,256199,0,en,2.085,2013-07-27,0,100,6.9,10,Comedy
Frankenstein's Army,0,153738,0,en,9.891,2013-01-24,0,84,6.2,191,Action
Frequencies,1,218425,0,en,10.701,2013-09-27,0,105,6.5,328,Romance
Frozen,1,109445,150000000,en,156.627,2013-11-20,1274219009,102,7.3,13698,Animation
The Frozen Ground,1,199373,27220000,en,17.113,2013-07-11,5496951,105,6.3,1140,Thriller
